"ID";"Nom de l'entreprise";"Adresse";"Téléphone";"Fax";"Email entreprise";"Spécialité(s)"
"3916";"King Digital YC";"SFAX - Nasria IMM Emna city Bloc A App 904, Sfax, Tunisia";"53 640 042";"27670094";"contact@kingdigital.fr";"IINFOBDAD"
"3910";"EDS  Expert Dev Solutions";"14 Janvier, Sfax, Tunisie";"29 580 682";"29 580 682";"contact@expert-dev-solutions.com";"IINFO"
"3907";"Sté MAS-SA";"menzel chaker klm 41 Sfax";"28633107";"74453456";"awalid@mas-Alu.com";"LIM"
"3905";"Société AMIRA";"Sfax route saltnia km 3,5";"74214018";"74214018";"Societe.feten@gmail.com";"LIM"
"3902";"DAR ESSAYDALI";"Avenue commandant Mohamed Béjaoui cité Tayeb 3000 sfax";"74221600";"74221644";"Daressaydali@daressaydali.com";"LIM"
"3896";"piximind";"Route el Ain km 1.5 sfax";"55111999";"----";"contact@piximind.com";"BDAD"
"3891";"SORETRAS";"Route Menzel Chaker Km 0,5 Rue Mouna – 3058 Sfax, Tunisie";"(216) 74 240 444 / 7";"(216) 74 450 888";"soretras@soretras.tn";"BDAD"
"3882";"Smarties consulting";"Poderier,sfax, Tunisie";"22734534";"22734534";"Contact@smartis.tn";"BDAD"
"3857";"Acteol";"Route l’Afrane km7, Sfax 3093";"74 616 185";"+44 20 7042 8860";"Info@acteol.com";"BDAD"
"3846";"Allegra vision";"av 14 janvier, imm. Elbochr2, bur.303, 3027, Sfax";"50556554";"70876793";"contact@allegravision.com";"LIM"
"3839";"CA MarQenti";"Residence myriam appartement A22 Route tunis km1.5 Sfax";"26994474";"74231113";"Contact@marqenti.tn";"IINFO"
"3836";"CA-MarQenti";"route tunis klm 1.5 immeuble myriam Sfax";"26994474";"74231113";"contact@marqenti.tn";"IINFOBDAD"
"3832";"TN Smart IOT";"Rue  Saltnia km3 pépinière d'entreprise sfax innovation 2";"25047043";"--------------------";"contact@tn-smart-iot.com.tn";"BDAD"
"3827";"IBN KHALDOUN";"Route de gremda km 3, 3062 Sfax. Tunisie";"+216 98 795 340";"+216 74 619 000";"contact@polyclinique-ibnkhaldoun.com.tn";"BDAD"
"3825";"2Earn.cash";"1-361 Rte du Kaïd Mhamed, Sfax 3039";"966531613770";"+966531613770";"administrative@2earn.cash";"BDAD"
"3819";"Ste Prestacode ""PRCDG""";"Rue Lakhmi Immeuble Fourat Bureau 207 Sfax- Tunisie";"55099292";"55099292";"contact@prestacode.io";"LSILIMBDAD"
"3794";"Djagora fondation";"route de tunis, Village de l'Entrepreneur - Cité El Ons, Route de Tunis Km10, Sakiet ez Zit, Tunisia, Sfax, Sfax TN";"22742820";"74861997";"heditm@gmail.com";"PIIM"
"3788";"Commune De Sfax";"Avenue Habib Bourguiba Sfax";"39155600";"39155611";"municipalite.sfax@gnet.tn";"BDAD"
"3786";"EMI";"Rte Afrane km 6, Sfax";"74220989";"299300";"emi.tunisie@gmail.com";"PIIM"
"3772";"SOCIETE NATIONALE DES CHEMINS DE FER TUNISIENS (SNCFT)";"Rue 5 Aout Sfax";"99799488";"74223885";"48703@sncft.com.tn";"IINFOBDAD"
"3762";"Technoflex";"Rte de Tunis Km22, El ghraba - sfax";"70162780";"74842476";"sce.info@technoflex.com.tn";"BDAD"
"3745";"XLAiner";"Avenue 5 Aout, Centre d'affaire Sfax";"58 621 341";"58 621 341";"contact@xlainer.com";"IINFO"
"3724";"Nutrisud";"Rte de Mahdia, Km 10, sfax";"29958100";"74830641";"medimix@medimix.com.tn";"BDAD"
"3689";"GERAJEUNE";"Ceinture germda vers kaied mohamed devant Donatello Sfax";"44770643";"";"gerajeune@gmail.com";"IITWMBDAD"
"3686";"AMTA Academy";"Rue beb salem , Route El Ain  km 1 , Sfax";"51115603";"74 463 001";"contact@amta.academy";"LIM"
"3682";"PrestaCode";"Rue lakhmi-Imm Fourat-Bureau 207 Sfax-Tunisie";"55099292";"";"jobs@prestacode.io";"BDAD"
"3657";"HB bank";"34 AV. Hédi CHAKER, km 7 Rte de Mahdia, Sfax";"71 127 436";"*";"ag.sfaxsidimanssour@bhbank.tn";"BDAD"
"3650";"TRAPSA";"Av 5 Août Hached Sfax";"74225494";"74225494";"samiasoudani@trapsa.com.tn";"BDAD"
"3641";"Id software solutions";"Sfax,route de tunis km2 kassas chaaben immeuble ariana palace";"52316807";"52316709";"id2softwaresolutions@gmail.com";"BDAD"
"3632";"PrestaCode";"Rue lakhmi-Imm Fourat-Bureau 207 Sfax-Tunisie";"55099292";"55099292";"hazar.ayadi@prestacode.io";"IINFO"
"3629";"Twinscom";"Avenue Martyrs immeuble pic ville 3027 sfax";"+216 44 844 180";"74406320";"Sales@twins-com.com";"BDAD"
"3628";"Twinscom";"Avenue Martyrs immeuble pic ville 3027 sfax";"44 844 180";"74406320";"sales@twins-com.com";"BDAD"
"3605";"emna mallek";"sfax";"55817815";"+216 74 862 432";"emna.mallek96@gmail.com";"IINFO"
"3600";"Groupe Chimique Tunisien - Direction Régionale De Sfax";"km 4 Rte de Gabes, Sfax";"74453165";"74453130";"titi.sondes@gct.com.tn";"BDAD"
"3580";"Sofrecom";"Route de Taniour Tbolbi,Sfax";"+216 58 434 656";"+216 52 854 624";"sofrecom-recrutement@sofrecom.tn";"BDADINGINFO"
"3565";"CHO";"Sfax";"111111";"111111";"cho@cho.tn";"BDAD"
"3553";"Jalysscom";"Bâtiment Al-Anbara, à côté du complexe Al-Jamasi 3000 Sfax Tunisie";"51 165 003";"51 165 003";"jalysscom.book@gmail.com";"MPIGP"
"3538";"Hôpital Habib Bourguiba";"PPRX+474, Rue Al Firdaws, Sfax 3029";"74242333";"74242333";"taharmahjoubi@rns.tn";"MPIGP"
"3517";"YOUSOFT-IT";"Av. d'Algérie Imm. Jallouli 1, 3000 Sfax -Tunisia-";"+216-74-227-251";"+216-74-227-250";"amri@yousoft-it.com";"MPDEDILIMBDAD"
"3499";"Htsoft";"Route Gremda km 0.5 Immeuble LA COURONNE - 4E Etage -APP A03 - 3027 – Sfax - Tunisie";"58 40 29 08";"58 40 29 08";"contact@htsoft.tn";"BDAD"
"3487";"STEG BASE SFAX DE TRANSPORT D'ELECTRICITE";"GREMDA KM09 SFAX";"74659993";"74658814";"kabdelhedi@steg.com.tn";"BDAD"
"3473";"Cresus Solutions";"Avenue 14 janvier Immeuble Aïn palace, 6ème étage App603 - 3027 Sfax";"40185000";"70035992";"contact@cresus.pro";"IITWM"
"3460";"SPID";"Av 5aout immeble affes";"27750809";"27750809";"spid.tech.sfax@gmail.com";"BDAD"
"3457";"EXPERT DEV SOLUTIONS WEB";"Av 14 Janvier IMM.Omaraa A5.5 (En fâce Banque centrale)  Sfax, Tunisie";"+216 29 580 137";"+216 29 580 137";"web@expert-dev-solutions.com";"LIM"
"3454";"Prestacode";"Rue lakhmi imm fourat _bureau 207-sfax-tunisie";"31199969";"31199969";"Hazard.ayedi@prestacode.io";"LIM"
"3430";"Mercarue";"Rte gremda km 6 sfax";"50 480 214";"50 480 214";"contact@mercarue.com";"LIM"
"3414";"Tekab dev";"Rue Hedi Nouira complex la Couronne 5éme étage B02، Tunisie, Sfax";"+(216) 29 711 100";"+(216) 29 711 100";"contact@tekab.dev";"IITWMLIM"
"3310";"systeo digital";"route manzel chaker ,sfax";"29370899";"29370899";"j-score@systeo.biz";"IITWMINGINFOBDAD"
"3284";"Groupe Hammami";"Route saltnia km 2.5, sfax tunisie";"29954075";"74289790";"contact@groupe-hammami.com";"BDADINGINFOLIM"
"3273";"Société DECADE Tunisie Filiale de DECADE France";"Decade Sfax Immeuble : Focus - Route Gremda Ceinture Bourguiba Km 3";"73645867";"73465868";"administratif@decade.fr";"IITWM"
"3256";"société Kusa";"Route Tunis km10, sekit ezzit sfax3021";"53991708";"53991708";"kusaup@gmail.com";"BDAD"
"3245";"Primatec Engineering";"Sfax Technopark Tunis Rd, km 10, Sfax , Sakiet Ezzit 3021, TN";"39 152 300";"";"info@primatec.tn";"BDAD"
"3240";"Pâtisserie Masmoudi la commerciale";"Av.Dr Ahmed Essihilli 3003 Sfax";"51782047";"";"info@masmoudi.tn";"BDAD"
"3239";"STEG, DISTRICT SFAX SUD";"rte de Menzel Chaker Km 43013 Merkez Kassas - SFAX";"74 620 653 / 74 620";"74 620 673";"cbenghozlen@steg.com.tn";"BDAD"
"3219";"MAS Group";"sfax , Nasriya , complexe la coronne 9éme étage";"74 645 692";"74 645 692";"mas@mas-alu.com";"BDAD"
"3213";"Envision Agency";"Avenue des Martyrs immeuble zayatine Bloc A 4 éme étage bureau 7 Sfax, 3000";"21 96 96 66‬";"31 12 47 39‬";"contact@envision.com.tn";"BDADIINFOMPDD"
"3195";"ECOCLOUD";"Route El Aïn Km2 Sfax Tunisie";"55941914";"----";"rit.main.data@gmail.com";"BDAD"
"3189";"Wide Insights";"16 Av. Omar B. Khattab – Teniour KM 8  Sfax 3041 - Tunisie";"55737262";"55737262";"gkhabou@wide-insights.com";"BDAD"
"3183";"Revolutionary Digital Transformation, ReDX";"Route Menzel Chaker Km 3.5, Sfax";"22585885";"74620607";"contact@redxt.com";"BDAD"
"3165";"xlainer";"avenue 5 out , centre d'affaire sfax";"98253750";"";"oussamabahri@xlainer.com";"BDAD"
"3159";"Société de l’investissement en écologie";"Zone industrielle « Poudriére 1 » sfax, Tunisia, 3081";"98 513 315";"99 414 241";"ramzi_halouani@yahoo.fr";"LSI"
"3153";"SSII Expertise Online";"Avenue Habib themeur Immeuble Attijari BANK 3000. Sfax";"44670134";"74297234";"expertise.online@profiscal.com";"BDAD"
"3144";"STEG, DISTRICT SFAX SUD";"rte de Menzel Chaker Km 4 . 3013 Merkaz Kassas, Sfax";"74 620 653";"74620673";"Cbenghozlen@steg.com.tn";"BDAD"
"3141";"King digital YC";"Sfax, Nasriya IMM Emna city app 904";"21.570.865";"21.570.865";"Contact@kingdigital.fr";"LSIBDADIINFOLIM"
"3135";"ILEYCOM";"63 rue de la Mecque ,La Medina, Sfax 3000";"+216 54 969 081";"+216 54 969 081";"contact@ileycom.com";"LSI"
"3129";"LA COMPAGNIE TUNISIENNE DE FORAGE";"Route de Tunis Km 17 Sidi Salah Sfax Tunisie";"+216 74 273 160";"+216 74 273 162";"contact@ctf.com.tn";"LIM"
"3121";"Agence Brandery";"Avenue Misrata résidence Souhir M2 - Sfax Tunisie";"74 200 887";"74 200 887";"sayhello@brandery.be";"IITWM"
"3111";"Data Camp Training & consulting";"Avenue bourgiba maison 178 Gremda 3062 Sfax";"25290881";"74660118";"contact@datacamp-training.com";"BDAD"
"3109";"O.A.C.A";"Aéroport Sfax";"74278000";"74278359";"oaca.aitn@planet.tn";"IITWM"
"3096";"Amilcar Petroleum Operations";"Hannibal Gas Plant, Route de Gabes KM21, Nakta , BP256PM, Sfax";"31363800";"31363310";"bahaeddine.abdaoui@apo.com.tn";"IITWMBDAD"
"3080";"Taguini Marketing";"Imm Lafran centre, Mezanine Bureau N°3, Route de Lafran Km 0.5 Sfax";"54 650 272";"54 650 272";"contact@taguini.com";"BDAD"
"3075";"Splendor";"Av. Majida boulila Imm. Maissa 3ème étage B.7, 3027 Sfax Tunisie";"+216 53 158 602";"31400050";"hello@splendor-ad.tn";"IITWM"
"3053";"Ecm Consulting";"avenue 14 janvier, Imm omara 3027 sfax, tunisie";"53951282";"53951282";"contact@consultecm.com";"IITWM"
"3043";"Clinisya";"Rt manzel chaker km 4.5 sfax";"24231200";"74623700";"Standard@csys.com.tn";"PIIM"
"3024";"ads prima pub";"pépinière d'entreprises sfax innovation 3";"29211644";"31238068";"contact@adsprimpub.com";"LIM"
"3013";"ads prima pub";"Pépinière d'entreprises sfax innovation 3";"27009306";"31238068";"contact@adsprimapub.com";"LIM"
"3009";"Clinisys";"Route manzel cheker klm 4.5 sfax";"74623700";"74623777";"standard@csys.com.tn";"BDAD"
"2995";"NewGen Technologies";"Immeuble Emna City bloc B 6éme étage App 61, 3027 Sfax Ville";"70296368";"70296368";"administration@nextgentech.fr";"BDAD"
"2993";"MyPartner ISC";"Sfax El Jadida Imm Ihsan App 404";"52888866";"52888866";"careers@mypartner-isc.com";"IITWMBDAD"
"2992";"Platana";"Residence Rayahine Av. Majida Boulila, 3027, Sfax";"70 032 088";"70 032 088";"contact@platana.fr";"BDADIITWM"
"2968";"Tunisie Télécom direction régionale Sfax";"Complexe telecom sfax el jadida";"74401717";"74402852";"riadh.jallali@tunisietelcom.tn";"PIIM"
"2964";"Artibedded";"Technopole de Sfax";"99704734";"---------------";"nour.bouraoui@artibedded.com";"IITWMBDAD"
"2949";"Aminformatique";"Rue Arbi Zarrouk_Magasin N° 21_3000 Sfax_prés du lycée 9 avril";"74200657";"74229402";"ami@tunet.tn";"LSI"
"2945";"Société jmal ejm";"Zone Indestrielle la poudriere 1 sfax";"26636000";"74296670";"ejm.direction@gmail.com";"BDAD"
"2935";"Prima Pub";"sakiet ezzit sfax";"29211644";"29211644";"primapub.tn@gmail.com";"LIM"
"2931";"CRNS";"Technopole de Sfax Route de Tunis Km 10";"74 863042";"74863041";"ameurhanen@gmail.com";"PIIM"
"2918";"LEADERPOS";"ROUTE SOKRA K1 IMMEUBLE RIM PALACE , SFAX";"+21674494362";"74463015";"leaderpos.tn@gmail.com";"BDAD"
"2883";"ABS COMPUTER";"Imm moulin ville centre route tunis km 1.5 sfax";"70015081";"74444108";"contact@abscomputer.tn";"BDAD"
"2878";"DOXSO technologies";"14 janvier Sfax";"50702771";"50707271";"contact@doxso-technologies.com";"LIM"
"2869";"Akriveia";"Route lafrane km6 Sfax";"24745351";"24745351";"contact.akriveia@gmail.com";"BDAD"
"2856";"Unilog";"Avenue hbib bourguiba sfax";"98412987";"98412987";"Contact@unilog.tn";"IITWM"
"2829";"united developers";"el amra-3036 -sfax";"70038206";"74898339";"rabaa.abbes@gmail.com";"BDADLIM"
"2807";"SORETRAS";"SFAX 3058";"74240444";"74450888";"feker.masmoudi@gmail.com";"BDAD"
"2774";"Parfumerie ennour";"Sfax";"26645227";"00";"Ennourmarketing@gmail.com";"MPIGP"
"2760";"ITC";"ROUTE DE GABES KM10, 3083 SFAX -TUNISIA";"(+216) 74 679 645";"(+216) 74 679 645";"information@itc-tunisia.net";"LIM"
"2748";"Quality One Dev";"Rue lakhmi ennasria sfax - immeuble la perla 2 - 3027";"52 222 229";"";"Info@qualityone.dev";"BDAD"
"2743";"KUSA";"village entrepreneuriat technopole Sfax cité Ons";"21140208";"21140208";"tarek.ouni@gmail.com";""
"2728";"STE BEST SOLUTIONS";"Av. Monji Slim, Sakiet Ezzit 3021, Sfax";"44701752";"44701752";"contact@bestsol.tn";"IITWM"
"2726";"Bisoftcom";"Route de Gremda  Km 6,5 - Centre Sahnoun 3012 Sfax";"98154865";"Néant";"youssef.missaoui@gmail.com";"MRDSBDAD"
"2683";"Soft-pro / CRNS";"imm.Aml Centre,Av.de la Liberté 14 janvier 3027 Sfax Tunisie";"22723603";"22723603";"elloumi.fahmi@gmail.com";""
"2655";"Commissariat Régional de l'éducation sfax2";"rue eljazair sfax";"74669031";"74669031";"cre.sfax2@edunet.tn";"BDAD"
"2651";"L'Institut supérieur d'informatique et de multimédia de Sfax";"RQQ4+RW7، pôle technologique de sfax, Sakiet Ezzit 3021";"74 862 233";"74242870";"anis.jedidi@isims.usf.tn";"MPDEDI"
"2637";"Association NAHAWAND";"22 Rue du marché central, 300 Sfax";"22680000";"22680000";"contact@rimm.tn";"MPDEDI"
"2623";"Laboratoire de recherche MIRACLE";"Technopole Sfax, Rte de Tunis, Sakiet Ezzit 3021";"74862332";"74862332";"jammoussi@gmail.com";"MRDS"
"2613";"Business Software";"Route Gremda km 0,5 Immeuble Essour 2ème étage. App 24. Sfax 3000 Sfax Medina, Tunisia, Sfax Medina, Tunisia";"26 706 061";"74 401 209";"contact@businessoftware.com.tn";"BDAD"
"2612";"Datasphera";"A5-1 Immeuble sfax palace avenue 5 août sfax";"70295258";"70295258";"Contact@datasphera.com";"MPIGP"
"2595";"Advantry X";"ICT Technopole, Business incubator, Sfax, Sakiet Ezzit 3021, TN";"55 919 529";"55 919 529";"contact@advantryx.com";"BDADMPDEDI"
"2572";"Beprimetech";"Route de Tunis Km 4 Markez Bouasida immeuble Belvédère RDC Sfax, 3031";"58 019 018";"+216 58 019 018";"contact@beprimetech.com";"LIM"
"2539";"capitol soft";"Route de l’aéroport, km 4, Immeuble El Outour, Sfax, Tunisia";"44 162 995";"74 681 084";"info@capitol-soft.com";"LIM"
"2518";"WEDTECT";"cité ons Route Tunis km10 ,Sfax";"27577756";"27577756";"contact.wedtect@gmail.com";"MPIGPBDADIITWM"
"2512";"ELITEBOX Consulting";"Rue Habib Khanfir, Chehia, Sfax 3041";"97235425";"contact@elitebox-con";"contact@elitebox-consulting.com";"BDAD"
"2506";"Advanced Technologies for Medicine & Signal (ATMS)-ENIS";"Route de la Soukra km 4 - 3038 sfax";"+216 70 258 520";"+216 74 275 595";"echtiouiamira@yahoo.fr";"LIM"
"2503";"Future Proof";"Sakiet-ezzit, Sfax 3021, TN";"58785655";"58785655";"contact@futurproof.tn";"BDADMPDEDI"
"2495";"radio diwan fm";"rue taniour km 5.5 sfax";"31330328";"31328329";"contact@diwanfm.net";"LIM"
"2456";"Acteol";"Rte Lafran Km  7 , Sfax - Tunisie";"74616185";"";"info@acteol.com";"BDAD"
"2446";"POLYSOFT&CO";"Rte de teniour Km 0,5 , Sfax , Tunisia";"74433020";"74433020";"gm@polysoftco.tn";"BDAD"
"2430";"Adshee";"Tunisia Sfax nasriya imm perla 2  6eme etage";"24118102";"24118102";"maazoun.majdiii@gmail.com";"IITWM"
"2429";"Chaaben Technology group";"Rte teniour, Km6, Chihia, Sfax";"56 717 008";"";"contact@chaabengroup.com";"BDAD"
"2427";"ExaDev";"Avenue de la liberté Immeuble Ayda 1 ére étage N°105 Sfax، 3000";"22386968";"70032532";"contact@exadev.tn";"BDAD"
"2419";"novatis";"Immeuble Fourat Bureau 102 Rue Sidi Lakhmi Sfax، 3027";"70 284 284";"70 284 284";"Info@novatis.tn";"MPDEDI"
"2409";"sac-marquage";"N 428, Av.Errached Sakiet Eddayer Km 10, 3054 Sfax, Tunisie";"55553575";"55553575";"sac-marquage@gmail.com";"BDAD"
"2399";"Général Computer";"Beb Bhar Sfax derrière L’UGTT";"98344071";"74200197";"abdelhedigc@yahoo.fr";"LIM"
"2393";"Infosquare";"Av. Mongi Slim, Sfax";"+216 97.807.847";"+216 97.807.847";"contact@infosquaregroup.com";"BDAD"
"2387";"Softtodo";"Route Ain Km 3, Ceinture Bourguiba, 3003 Sfax Tunisie.";"23787296";"74660544";"info@Softtodo.Com";"BDAD"
"2386";"Atom engineering";"Sekit Ezzit, Sfax, Tunisia.";"25444210";"25444210";"internship@atom-group.fr";"IITWM"
"2384";"TELNET";"25 Rue Jamel Eddine El Afghani, Zone industrielle Poudrière 1, 3000 Sfax";"74278700";"74287019";"info@groupe-telnet.net";"LIM"
"2381";"fogits";"2A2, Immeuble Hadrich - ZI Poudrière 1 Rue Jameleddine Afghani, 3002 Sfax, Tunisie";"58 422 213";"36 366 597";"ameni.khoufi@fogits.com";"BDADLSIPIIM"
"2359";"Dedale Solutions";"Rue Ahmed Aloulou,residence Al Ihsene , bureau 506 Sfax";"23406515";"71659599";"contact@minotore.com";"IITWMINGINFO"
"2355";"Dots-tn";"avenue 5 aout sfax";"53662814";"53662814";"faicalmarrakchi@gmail.com";"BDAD"
"2340";"Général informatique";"Route Ain k1.5 centure n5 vers Manzel Chaker, Sfax, Tunisia";"22830617";"74457408";"general.info.elec@gmail.com";"BDAD"
"2316";"Cradle of Nature";"Markaz Chaker BP N°10, 3072 Sfax";"54021200";"";"hamed.ktari@cradle-nature.com";"IITWM"
"2293";"WEB VUE";"3027, résidence Baya Center, 3ème étage 35, Rue Hédi Nouira, Sfax";"28 833 242";"28 833 242";"contact@wvue.net";"BDADIITWM"
"2286";"netnovus";"B1-6 Res Nour Elhouda Elain 3051 Sfax ,Tunisie";"+216 70 253 168";"+216 70 253 168";"info@netnovus.com";"PIIM"
"2283";"Biat";"Amra sfax";"58591332";"31341411";"agrebimen2001@gmail.com";"LSILIM"
"2280";"Capitol Soft";"Route de l’aéroport, km 4, Immeuble El Outour, Sfax, Tunisia";"74 681 084";"74 681 084";"chaari.adel@capitol-soft.com";"LIM"
"2237";"groupe chimique tunisien usine de Skhira";"GCT Skhira Sfax 3050 Sfax";"74295200";"7429520";"noureddine.mchiri@gct.com.tn";"LIMBDAD"
"2230";"HyperGroup";"Av. de la Liberté 14 Janvier, Rue IbnEljazzar, Imm Khalifa, Bloc B 3027 Sfax, Tunisia";"(+216) 23 956 393";"(+216) 74 408 885";"contact@hypergroup.com.tn";"BDADMPDEDI"
"2211";"Karray Group";"Route de Gremda km6 , sfax";"74264348";"74264347";"contact@karray-group.com";"BDADINGINFO"
"2159";"trapsa";"skihra sfax";"74295453";"74295426";"said.attia@trapsa.com.tn";"IITWM"
"2151";"Imprimerie El Faouz";"Route Saltania Km 4(devant la mosquée Elmanar) Sfax";"+216 74 874 582";"+216 74 874 582";"imprimerie.el.faouz1@gmail.com";"LIM"
"2144";"I.R.S.Technologie";"IMM taktak avenue h.bourguiba sfax";"74227338";"74227366";"irst@tunet.tn";"LSI"
"2124";"somocer groupe";"Route de Sfax, MENZEL HAYET-5033 Monastir";"73410469";"73410043";"contact@somocergroup.com";"LIM"
"2117";"Air liquide tunisie service";"Zone industrielle poudrière 1 rue de 13 août 3002 sfax";"36464767";"74297788";"Ameni.brini@airliquide.com";"LSI"
"2111";"CONDORI";"Av de la liberté, Sfax";"58316564";"indisponible";"abrcondori@yahoo.fr";"BDAD"
"2110";"Freecom training centrer";"Complexe la couronne, AV hédi nouira sfax";"56541541";"70296396";"Freecom.traningcenter1@gmail.com";"LIM"
"2107";"ABS Computer";"Route de Tunis km 1.5 imm moulin ville centre bloc B sfax";"70015081";"744444108";"hbaiebmelek@gmail.com";"LIMMPIGPBDAD"
"2105";"Actia Group";"Parc Technologique de sfax, 2ième Etage 3021 Sfax (Tunisie Sfax, 3021";"70 221 503";"70 221 503";"wassim.keskes@actia-engineering.tn";"BDAD"
"2101";"Freecom";"Complexe la couronne , AV hédi nouira Sfax";"56541541";"70296396";"freecom.traningcenter1@gmail.com";"LIM"
"2094";"Office des Oeuvres Universitaire pour le Sud";"Cité El Mourouj، B.P 1094 Rte de l'aéroport, Sfax 3018";"74 243 614";"74 243 735";"contact@oous.mesrs.tn";"LIM"
"2090";"Actia Engineering Services";"Route de Tunis km10, cité el ons, hôtel d'entreprises, Sfax";"70687917";"70687921";"contact@actia-engineering.tn";"IITWMLIMBDAD"
"2086";"Finlogik Tunisie sfax";"Route de Teniour Km 2,5 Markez El Pacha";"74259872";"3041";"Recrutementunisie@finlogik.com";"BDAD"
"2060";"CHU Habib Bourguiba sfax";"Route de l'Ain 3000 SFAX";"74241800";"74241511";"mahjoubi.tahar@gmail.com";"LSI"
"2058";"Digital Click";"Route Afrane Km 03, Imm Afrane Centre 2 APP N°5-2 Sfax, Tunisie";"70 146 563";"70 146 563";"contact@digital-click.tn";"BDAD"
"2047";"STUBSOFT";"Route Mahdia km1.5 Sfax";"74440602";"74440603";"khalilbenatitallah@gmail.com";"BDAD"
"2045";"Spectrum Center";"Avenue hedi nouira, immeuble mokhtar bellaaj 1ère étage app13 centre ville sfax 3027 sfax medina, tunisia";"54 777 117";"54 777 117";"Spectrumcenter21@gmail.com";"IITWM"
"2027";"Société Tunisienne de Banque Agence Sfax Lafrane";"Route Lafrane Km 4";"74660880";"70143143";"chefagence.sfaxlafrane@stb.com.tn";"IITWM"
"2015";"Miral développement";"rue Hedi Nouira Emna city 3027 Sfax";"26041415";"26041415";"miraldevelopemnt@gmai.com";"LIM"
"1939";"best web business";"route de gremda km7 markaz sahnoun-sfax -tunisie";"24158294";"74659930";"bestbusinessweb@yahoo.fr";"BDAD"
"1930";"Sifast";"rue meteor 42 route ain km 1 sfax";"74242608";"74242409";"stage@sifast.com";"BDAD"
"1925";"Ghdiri Imen";"Sfax-cité l'ons";"92623205";"**********";"Imen.ghdiri98@gmail.com";"LIM"
"1923";"sonede";"rue ibn badis sonede sfax";"74223536";"74223303";"sonede@sonede.com.tn";"LSI"
